Dataset,p-value,statistic
anatomy,nan,nan
astronomy,1.7177764765078877e-13,62.5
business_ethics,nan,nan
clinical_knowledge,nan,nan
college_biology,nan,nan
college_chemistry,nan,nan
college_computer_science,nan,nan
college_mathematics,nan,nan
college_physics,nan,nan
computer_security,nan,nan
econometrics,nan,nan
electrical_engineering,9.948758346327588e-65,300.0
elementary_mathematics,nan,nan
formal_logic,nan,nan
global_facts,nan,nan
high_school_biology,2.510954256563321e-35,164.0
high_school_chemistry,7.989179244951495e-11,50.0
high_school_computer_science,nan,nan
high_school_european_history,nan,nan
high_school_geography,2.6349139284880416e-32,150.0
high_school_government_and_politics,9.948758346327588e-65,300.0
high_school_macroeconomics,nan,nan
high_school_microeconomics,1.3712528725645675e-27,128.125
high_school_physics,nan,nan
high_school_psychology,2.6762160107689153e-24,112.84722222222223
high_school_statistics,nan,nan
high_school_us_history,nan,nan
high_school_world_history,5.291617300698903e-35,162.50000000000003
human_aging,2.7713833305490208e-30,140.625
human_sexuality,nan,nan
international_law,nan,nan
jurisprudence,nan,nan
logical_fallacies,2.6349139284880416e-32,150.0
machine_learning,nan,nan
management,nan,nan
marketing,3.7430788209242296e-49,228.0
medical_genetics,nan,nan
miscellaneous,3.008328095866618e-35,163.63636363636368
moral_disputes,8.391900594993032e-46,212.5
moral_scenarios,nan,nan
nutrition,nan,nan
professional_accounting,6.738911474136169e-13,59.722222222222214
professional_medicine,nan,nan
professional_psychology,8.762790245175971e-14,63.8671875
public_relations,nan,nan
security_studies,2.6349139284880416e-32,150.0
sociology,9.922940559259732e-23,105.55555555555557
us_foreign_policy,nan,nan
virology,nan,nan
world_religions,9.948758346327588e-65,300.0
professional_law,4.8819678930165793e-14,65.055
prehistory,1.1791531696603634e-25,119.145
philosophy,6.0592181872874904e-27,125.13
high_school_mathematics,7.535796329288264e-13,59.495000000000005
conceptual_physics,2.4534518023631967e-16,75.79
college_medicine,6.282624699761305e-20,92.52499999999999
abstract_algebra,2.0810415615542208e-13,62.11026077097505
