Dataset,0,1,2,3
anatomy,-0.10956449531471282,-0.005263884259018081,0.051579539874502534,0.06324883969922857
astronomy,-0.029321515642178025,-0.004309038804751919,0.017245960043660774,0.016384594403269115
business_ethics,0.0032447613426696276,0.045336575184355354,-0.017701944031901756,-0.030879392495123253
clinical_knowledge,-0.002343337457517386,0.0006727146364975123,0.00015163066187259822,0.0015189921591472755
college_biology,-0.05603142352193258,0.003398871598718989,0.04597486837943848,0.006657683543775189
college_chemistry,0.003060260032542672,0.013634068377084058,-0.018564662688361253,0.0018703342787345367
college_computer_science,-0.015008928960487083,0.0117364859767084,0.004574319551407108,-0.0013018765676284516
college_mathematics,-0.03783750028447637,0.015670920376640002,0.020438886108519988,0.0017276937993164487
college_physics,-0.010426442064382646,-0.0026454293415766605,0.015457578907470793,-0.002385707501511458
computer_security,-0.031106354139713327,0.0006399730956433702,-0.0006940018588791064,0.031160382902949035
econometrics,0.010951452927138783,-0.037041305497818144,0.014749592405786521,0.011340260164892813
electrical_engineering,-0.03196884751583087,-0.01475328942482923,0.049163088342517314,-0.002440951401857183
elementary_mathematics,-0.0054351073206817535,0.0011182485495180028,-0.0008677741087195767,0.005184632879883355
formal_logic,-0.013303841922004483,-0.008824353343114821,0.005561182979048784,0.016567012286070493
global_facts,-0.0026609287314199592,0.007269871607755579,-0.013077544884829734,0.008468602008494142
high_school_biology,-0.019721712125111646,0.013225841000966077,0.0024238186204150747,0.004072052503730494
high_school_chemistry,-0.020667998865303433,0.020678247099556984,0.004119812701202069,-0.004130060935455621
high_school_computer_science,-0.017377374585097194,0.02249879206361302,-0.0017515078601260115,-0.0033699096183898436
high_school_european_history,-0.011015272967892453,-0.010981342093799723,0.03438014957130725,-0.012383534509615185
high_school_geography,-0.041676186945023314,0.022597963428309747,0.022109798853968826,-0.0030315753372553433
high_school_government_and_politics,-0.04345632541076172,0.03342306714278209,0.03915021761905124,-0.029116959351071642
high_school_macroeconomics,-0.04795345439649554,0.01601344404469643,0.009079000107823448,0.022861010243975577
high_school_microeconomics,-0.015979134300116188,-0.007347379010108096,0.029499603600197183,-0.006173090289972927
high_school_physics,0.0021732716427839416,0.011304997817494514,0.003890429162476089,-0.017368698622754544
high_school_psychology,-0.07667258468363036,0.03999845145835612,0.03836715288491738,-0.0016930196596431357
high_school_statistics,-0.005767888627233889,-0.00858720318293578,0.002019871135138171,0.012335220675031497
high_school_us_history,-0.015685757813275636,0.02886501513994799,0.016600013804220964,-0.029779271130893348
high_school_world_history,-0.0196298003812308,-0.02848122562619393,0.022546057398211028,0.025564968609213645
human_aging,-0.019507485279835785,0.02717130706294868,0.027103074629101387,-0.034766896412214254
human_sexuality,-0.06959564804538701,0.00879530267580747,0.0334884649865434,0.02731188038303617
international_law,-0.055505805343250086,0.03852012508520741,0.032284748025489696,-0.015299067767447022
jurisprudence,-0.023027743456603883,0.008232373830240114,0.014443844187551652,0.00035152543881211695
logical_fallacies,-0.07761972882577423,0.0023058135136466984,0.052492127670711625,0.022821787641415875
machine_learning,0.05156261021390812,-0.02872497648313689,0.00018232847578036893,-0.023019962206551656
management,-0.03957037728966881,0.04255875724447289,0.03382584568481606,-0.03681422563962003
marketing,-0.012753988725537957,0.009417438917428356,0.0005447578157065092,0.0027917919924031476
medical_genetics,0.09793366784125082,-0.08083669202279471,-0.030590817186112784,0.013493841367656717
miscellaneous,-0.024273145550499864,0.004748119033074788,0.030493609720978337,-0.010968583203553234
moral_disputes,-0.03993040787376584,0.01243972255332551,0.031461211169807074,-0.003970525849366718
moral_scenarios,0.01884062735460676,-0.024691592952253164,0.004568891093706756,0.001282074503939662
nutrition,-0.058005320463789284,0.034019637166089745,0.032848832153124397,-0.00886314885542483
professional_accounting,-0.013365309267627634,-0.003391159686407047,0.013410711579549012,0.003345757374485586
professional_medicine,-0.025913996054421115,-0.0033490401153978833,0.0063162179913002214,0.022946818178518763
professional_psychology,0.0016224116225911356,0.0268650257363775,-0.003815594926101451,-0.024671842432867186
public_relations,0.05105767670803851,0.029904667181560624,-0.016235221864368626,-0.0647271220252304
security_studies,0.12759893272681547,-0.06293806715533565,-0.02350178751559953,-0.04115907805588032
sociology,0.15060587822384375,-0.08935672968255422,0.027758893410485014,-0.08900804195177459
us_foreign_policy,0.2318745582644621,-0.09799878164741038,-0.07932423613714265,-0.054551540479909094
virology,0.10004556759618329,-0.061366247811841274,0.003594948653194971,-0.042274268437536955
world_religions,0.12148134906653035,-0.1311500171309345,0.02108747198526728,-0.011418803920863141
Mean,-0.018490914979012233,0.004054623927824987,0.016150689719529772,-0.0017143986683425285
Std,0.039518638527963564,0.02638651134501619,0.018620165986855803,0.019027937525298952
