Dataset,p-value,statistic
anatomy,nan,nan
astronomy,7.541217327707254e-19,87.5
business_ethics,nan,nan
clinical_knowledge,nan,nan
college_biology,nan,nan
college_chemistry,nan,nan
college_computer_science,nan,nan
college_mathematics,nan,nan
college_physics,nan,nan
computer_security,nan,nan
econometrics,nan,nan
electrical_engineering,9.948758346327588e-65,300.0
elementary_mathematics,nan,nan
formal_logic,nan,nan
global_facts,nan,nan
high_school_biology,8.346372358284851e-42,194.0
high_school_chemistry,2.6349139284880416e-32,150.0
high_school_computer_science,nan,nan
high_school_european_history,nan,nan
high_school_geography,7.989179244951495e-11,50.0
high_school_government_and_politics,9.948758346327588e-65,300.0
high_school_macroeconomics,nan,nan
high_school_microeconomics,9.948758346327588e-65,300.0
high_school_physics,nan,nan
high_school_psychology,2.448234770009634e-28,131.59722222222223
high_school_statistics,nan,nan
high_school_us_history,nan,nan
high_school_world_history,5.291617300698903e-35,162.50000000000003
human_aging,3.5343305359074896e-18,84.375
human_sexuality,nan,nan
international_law,nan,nan
jurisprudence,nan,nan
logical_fallacies,8.391900594993032e-46,212.5
machine_learning,nan,nan
management,nan,nan
marketing,1.1410271413151177e-42,198.0
medical_genetics,nan,nan
miscellaneous,9.376427858868207e-34,156.7148760330579
moral_disputes,8.290445523796668e-31,143.05555555555554
moral_scenarios,nan,nan
nutrition,nan,nan
professional_accounting,1.2142878743523932e-09,44.44444444444445
professional_medicine,nan,nan
professional_psychology,1.5665887350488995e-11,53.3203125
public_relations,nan,nan
security_studies,2.6349139284880416e-32,150.0
sociology,5.9138028021528385e-18,83.33333333333334
us_foreign_policy,nan,nan
virology,nan,nan
world_religions,9.948758346327588e-65,300.0
professional_law,8.047961348257364e-14,64.03999999999999
prehistory,4.644336238922102e-24,111.735
philosophy,1.1564233787425769e-24,114.54
high_school_mathematics,7.838231994152994e-13,59.415
conceptual_physics,5.552454184873655e-16,74.135
college_medicine,1.5304893243409785e-19,90.725
abstract_algebra,8.343192699163766e-14,63.966836734693864
